""
"Details"
"Landtagswahl 2022, SaarlandVorläufiges Ergebnis"
""
""
""
"Partei","Anzahl","Anteil","Gewinn und Verlust in %-Punkten"
"CDU","129.156","28,5 %","-12,2"
"SPD","196.799","43,5 %","+13,9"
"DIE LINKE","11.689","2,6 %","-10,3"
"AfD","25.718","5,7 %","-0,5"
"GRÜNE","22.598","4,99502 %","+1,0"
"FDP","21.618","4,8 %","+1,5"
"FAMILIE","3.836","0,8 %","+0,0"
"PIRATEN","1.318","0,3 %","-0,5"
"FREIE WÄHLER","7.636","1,7 %","+1,3"
"dieBasis","6.449","1,4 %","+1,4"
"bunt.saar","6.216","1,4 %","+1,4"
"ÖDP","615","0,1 %","+0,1"
"Die Humanisten","233","0,1 %","+0,1"
"Die PARTEI","4.715","1,0 %","+1,0"
"Gesundheitsforschung","368","0,1 %","+0,1"
"Tierschutzpartei","10.391","2,3 %","+2,3"
"SGV","414","0,1 %","+0,1"
"Volt","2.642","0,6 %","+0,6"
"Wahlberechtigte","746.308","-","-"
"Wähler","458.223","61,4 %","-8,3"
"Ungültige Stimmen","5.812","1,3 %","+0,1"
"Gültige Stimmen","452.411","98,7 %","-0,1"
